Model,Accuracy,Weighted Precision,Weighted Recall,Weighted F1,Macro F1,Weighted OvR ROC-AUC,Macro OvR ROC-AUC,CV Mean Macro F1,CV Std Macro F1
Logistic Regression,0.735593220338983,0.7755441483484576,0.735593220338983,0.748546283612319,0.6983283269188648,0.9009913783219078,0.8834257060079298,0.714370505480271,0.015982754230698965
Support Vector Classifier,0.7242937853107345,0.7576754195201891,0.7242937853107345,0.7352909067335089,0.683859936649562,0.8901729451528702,0.8643007423566867,0.7157013162896791,0.015749478107546882
Decision Tree Classifier,0.7242937853107345,0.71738464071672,0.7242937853107345,0.7169259532167066,0.6488386998541257,0.8655047064465562,0.8437174856204196,0.6678949952088781,0.01118569161936569
K-Nearest Neighbors,0.7152542372881356,0.700223784804434,0.7152542372881356,0.6989195289027081,0.6278371038673815,0.8391618690883753,0.8155459637836812,0.6267397492325375,0.012415336156807514
Gaussian Naive Bayes,0.25310734463276835,0.5561782373965617,0.25310734463276835,0.17922475302540403,0.22960641530394546,0.7218148309500627,0.6904043122507849,0.2295519569507735,0.013532352591332827
