Model,Mean CV Macro F1,Std CV Macro F1,Fold 1 Macro F1,Fold 2 Macro F1,Fold 3 Macro F1,Fold 4 Macro F1,Fold 5 Macro F1
Support Vector Classifier,0.7157013162896791,0.015749478107546882,0.7400791878094033,0.7191871633855488,0.7181939090568997,0.691389905034013,0.7096564161625306
Logistic Regression,0.714370505480271,0.015982754230698965,0.7245443743802641,0.7316372199214913,0.7255825035328142,0.6938452144758407,0.6962432150909449
