Model,Mean CV R2,Std CV R2,Fold 1 R2,Fold 2 R2,Fold 3 R2,Fold 4 R2,Fold 5 R2
ElasticNet Regression,0.9933473044107,0.003727622137793536,0.9962786481373983,0.9938498517209536,0.9976078587526793,0.9869627666026386,0.9920373968398305
Ridge Regression,0.9924841690105577,0.006887388816938467,0.9967541674906731,0.9963534283155283,0.9968432315227362,0.9789250451863123,0.9935449725375389
